dataset,dose,replicate,n_disrupted_signature_genes,C_target,D,R,C_lower95_one_sided,C_upper95_one_sided,D_lower95_one_sided,D_upper95_one_sided,decision,specimen_assignment_coverage,participant_assignment_coverage,validation_evaluability,index_participants,comparator_participants
GSE27262,0.25,5,4,0.6256666666666667,0.3229928698752228,1.0335659599528857,0.5403333333333333,0.708,0.20347101449275362,0.4412916666666665,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,6,4,0.5651666666666666,0.2624928698752227,0.9336233804475851,0.49199999999999994,0.636,0.15463865546218492,0.37806249999999986,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,7,4,0.6601666666666669,0.357492869875223,1.0905580094228506,0.5890434782608697,0.728,0.24866576086956532,0.469692513368984,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,8,4,0.5201666666666667,0.21749286987522276,0.8592859246171966,0.43547826086956526,0.603,0.09733333333333322,0.3405330349531117,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,9,4,0.5925,0.2898262032085561,0.9787765017667843,0.516,0.6685217391304347,0.1754047619047619,0.40516666666666673,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,10,4,0.5713333333333334,0.26865953654188945,0.9438103651354534,0.49900000000000005,0.644,0.1589444444444444,0.3841401515151515,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,11,4,0.5566666666666668,0.25399286987522285,0.9195818610129564,0.48400000000000004,0.628,0.142736111111111,0.36985294117647044,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,12,4,0.5845,0.2818262032085561,0.9655609540636041,0.4871666666666667,0.6799999999999999,0.15551383399209473,0.4145854700854701,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,13,4,0.6040000000000001,0.3013262032085562,0.997773851590106,0.5228333333333333,0.6799999999999999,0.18298989898989898,0.41664734299516915,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,14,4,0.5386666666666667,0.23599286987522283,0.8898468786808009,0.4573333333333333,0.6200000000000001,0.1249509803921568,0.354818181818182,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,15,4,0.5690000000000001,0.26632620320855616,0.9399558303886925,0.4999999999999999,0.6353333333333333,0.15791176470588236,0.3766354852876592,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,16,4,0.6396666666666666,0.3369928698752227,1.0566931684334508,0.5685714285714286,0.708,0.23172222222222227,0.4549215686274508,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,17,4,0.6485,0.34582620320855606,1.0712853356890457,0.5589999999999999,0.7291666666666665,0.22132729468599027,0.4664285714285714,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,18,4,0.6218333333333332,0.31915953654188933,1.0272335100117782,0.5396666666666667,0.7,0.20083333333333342,0.4389166666666668,PASS,1.0,1.0,1.0,24,25
GSE27262,0.25,19,4,0.5809999999999998,0.27832620320855594,0.9597791519434625,0.4999999999999999,0.6615652173913044,0.16061111111111104,0.39714285714285735,PASS,1.0,1.0,1.0,24,25
GSE27262,0.5,0,7,0.35583333333333345,0.05315953654188954,0.5878165488810366,0.25083333333333335,0.46199999999999997,-0.0807222222222223,0.19142424242424239,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
