dataset,gsm,participant_id,pair_status,assignment,reason,best_profile_id,best_score,margin,executable_coverage,profile_scores,profile_coverages,validation_score,evaluation_label,forced_profile_id
GSE32863,GSM813482,07L31,paired,ASSIGNED,OK,P0,0.6230926537675002,0.21936206764403188,1.0,"[0.6230926537675002, 0.40373058612346835]","[1.0, 1.0]",0.7,tumor,P0
GSE32863,GSM813483,07L32,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813484,07L32,paired,ASSIGNED,OK,P0,0.8071417335221015,0.5886136760804407,1.0,"[0.8071417335221015, 0.2185280574416608]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813485,07L38,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813486,07L38,paired,ASSIGNED,OK,P0,0.7055214723926378,0.3914654355550511,1.0,"[0.7055214723926378, 0.31405603683758676]","[1.0, 1.0]",0.6,tumor,P0
GSE32863,GSM813487,07L5,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813488,07L5,paired,ASSIGNED,OK,P0,0.6123957841749251,0.21927941798433748,1.0,"[0.6123957841749251, 0.39311636619058765]","[1.0, 1.0]",0.7,tumor,P0
GSE32863,GSM813489,07L51,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813490,07L51,paired,UNASSIGNED,LOW_SCORE,P0,0.521787006449583,,1.0,"[0.521787006449583, 0.483025052680871]","[1.0, 1.0]",0.5,tumor,P0
GSE32863,GSM813491,07L6,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
